Restaurant_ID,Location,Year,Month,Total_Sales,Total_Expenses,Marketing_Cost,Rent,Staff_Cost,Utilities,Profit,Customer_Count
R001,Houston,2022,1,55795,45306,2860,10390,26964,5092,10489,1266
R001,Houston,2022,2,77194,40354,7578,13322,16685,2769,36840,3191
R001,Houston,2022,3,102955,46274,9581,11949,17433,7311,56681,1984
R001,Houston,2022,4,93707,43529,5385,11396,23666,3082,50178,3358
R001,Houston,2022,5,58431,37313,9643,7747,15189,4734,21118,3805
R001,Houston,2022,6,107435,54115,9734,6267,32912,5202,53320,4356
R001,Houston,2022,7,43890,41266,2646,10393,25627,2600,2624,3163
R001,Houston,2022,8,113969,37529,4041,12513,17612,3363,76440,2278
R001,Houston,2022,9,88555,39571,4556,5775,27206,2034,48984,3952
R001,Houston,2022,10,107121,55976,5943,12555,34457,3021,51145,4261
R001,Houston,2022,11,118953,50322,5843,12989,24692,6798,68631,961
R001,Houston,2022,12,77065,43061,3981,5995,26534,6551,34004,4598
R001,Houston,2023,1,41016,47715,9869,11439,23529,2878,-6699,1876
R001,Houston,2023,2,52185,41929,8360,9859,21331,2379,10256,1292
R001,Houston,2023,3,78044,44910,4062,5064,31216,4568,33134,2827
R001,Houston,2023,4,42695,37880,3495,10258,21736,2391,4815,4361
R001,Houston,2023,5,66854,57028,9161,11184,34483,2200,9826,3904
R001,Houston,2023,6,75222,61747,5645,13996,34115,7991,13475,3573
R001,Houston,2023,7,64538,51155,3570,10056,29948,7581,13383,3490
R001,Houston,2023,8,92992,37408,3028,12385,15502,6493,55584,1670
R001,Houston,2023,9,40206,53842,7134,10977,32868,2863,-13636,3590
R001,Houston,2023,10,94268,54029,6191,11019,33141,3678,40239,4042
R001,Houston,2023,11,73827,66038,8668,14914,34541,7915,7789,3425
R001,Houston,2023,12,104044,45848,3597,7693,28931,5627,58196,2163
R001,Houston,2024,1,88925,51007,3981,10450,33047,3529,37918,2838
R001,Houston,2024,2,55707,42319,7592,12392,16306,6029,13388,3475
R001,Houston,2024,3,95016,43082,3282,12526,20530,6744,51934,4548
R001,Houston,2024,4,53545,34885,6779,5663,16998,5445,18660,4543
R001,Houston,2024,5,108840,56848,5763,10232,33237,7616,51992,2091
R001,Houston,2024,6,92733,44860,9974,12554,16636,5696,47873,3799
R001,Houston,2024,7,66736,53074,6097,9737,29555,7685,13662,1654
R001,Houston,2024,8,78623,57118,9392,11528,28949,7249,21505,2507
R001,Houston,2024,9,66309,54562,7535,9931,34894,2202,11747,4055
R001,Houston,2024,10,52688,34413,2766,9389,17327,4931,18275,997
