Restaurant_ID,Location,Year,Month,Total_Sales,Total_Expenses,Marketing_Cost,Rent,Staff_Cost,Utilities,Profit,Customer_Count
R009,Fort Worth,2022,2,53399.14,35528.72,,11043.72,20957.9,3527.1,17870.42,5224
R048,Dallas,2022,1,96508.58,47991.12,6495.09,8814.86,26545.23,6135.93,48517.46,647
R045,Fort Worth,2022,7,93771.95,36080.53,3621.04,10407.07,21344.02,708.39,57691.42,2177
R011,Houston,2023,12,81272.19,34599.42,6340.44,12030.9,13632.52,2595.57,46672.77,1143
R051,Austin,2023,7,124484.73,49588.06,7726.07,8467.5,30212.42,3182.07,74896.68,5432
R022,San Antonio,2024,2,76264.21,48312.16,6029.77,12459.78,26621.7,3200.91,27952.06,848
R003,San Antonio,2024,1,57257.68,55951.05,6277.25,10647.58,33544.98,5481.24,1306.63,2073
R012,Dallas,2024,3,84679.1,56541.38,5459.85,13162.39,32467.91,5451.23,28137.72,4908
R049,San Antonio,2023,8,109042.87,38001.46,5374.21,11165.27,19863.74,1598.23,71041.41,4244
R032,Austin,2022,5,61850.05,52080.34,7897.19,9916.58,28399.69,5866.87,9769.71,5354
R004,Dallas,2022,2,126023.58,41727.51,7075.08,8469.95,23650.63,2531.85,84296.07,3728
R028,Houston,2024,9,130451.93,44164.03,5461.07,8659.16,26686.82,3356.99,86287.9,4469
R059,San Antonio,2023,7,65706.6,48876.22,8524.95,14451.67,22654.35,3245.25,16830.39,2370
R052,Austin,2022,4,86701.62,193666.57,3317.82,3989.98,181856.0,4502.76,-106964.95,5643
R038,San Antonio,2022,9,124122.85,51128.0,10584.42,10273.5,28941.02,1329.06,72994.84,913
R044,San Antonio,2024,2,66495.21,39955.44,3388.62,9521.67,23716.67,3328.48,26539.76,2271
R037,Austin,2022,3,129501.88,32473.25,6284.73,9358.97,14895.91,1933.64,97028.63,3309
R015,San Antonio,2022,11,27824.32,36784.41,3830.76,9906.82,20451.58,2595.24,-8960.09,4045
R016,San Antonio,2022,4,-67034.8,30459.46,2631.39,10591.98,22797.02,-5560.93,-97494.26,5024
R055,San Antonio,2024,12,107904.22,43556.62,7251.35,5398.8,27253.33,3653.15,64347.6,2094
R019,Houston,2024,3,88052.06,45993.81,4977.82,7560.96,29116.4,4338.64,42058.24,551
R023,Austin,2023,5,118088.13,28037.34,2267.1,4832.97,15333.55,5603.72,90050.79,1629
R001,Houston,2024,6,83810.52,43437.33,6929.62,6805.51,25543.56,4158.65,40373.19,3691
R046,Dallas,2023,10,41312.38,39440.1,6420.6,9915.5,21600.32,1503.69,1872.28,611
R052,Austin,2022,6,70280.52,48034.46,3773.31,10514.77,29641.66,4104.73,22246.06,4130
R029,Dallas,2023,4,68331.35,31161.33,3286.68,7789.02,16461.75,3623.87,37170.03,5163
R019,Houston,2023,9,60076.52,67045.42,10296.29,12086.57,39421.16,5241.4,-6968.9,4752
R042,Fort Worth,2023,4,-56857.8,63696.6,4699.5,39512.64,28581.65,-9097.19,-120554.4,4737
